aobtDateKey;adep;ades;aobtDate;aobtTime;aibtDate;aibtTime;aircraftRegistration;aircraftType;airline
20170624;LEMH;LFQQ;24/06/2017;14:25:00;25/06/2017;0:00:00;FGZTS;B737;FPO
20170624;LEMH;LEMD;24/06/2017;6:45:00;24/06/2017;8:09:00;ECLUD;A320;IBS
20170624;LEMH;LEBL;24/06/2017;12:01:00;24/06/2017;12:45:00;ECMEA;A320;VLG
20170624;LEMH;EGNT;24/06/2017;10:23:00;25/06/2017;0:00:00;GCELX;B733;EXS
20170530;LEMH;LEBL;30/05/2017;16:12:00;30/05/2017;17:02:00;EIDHH;B738;RYR
20170530;LEMH;LEPA;30/05/2017;18:27:00;30/05/2017;19:08:00;ECKIZ;AT72;SWT
20170624;LEMH;LEPA;24/06/2017;13:23:00;24/06/2017;13:51:00;ECLYB;AT75;AEA
20170530;LEMH;LEBL;30/05/2017;7:18:00;30/05/2017;8:05:00;ECMEQ;A320;VLG
20170530;LEMH;LEPA;30/05/2017;8:07:00;30/05/2017;9:01:00;ECLST;AT72;AEA
20170624;LEMH;EGCN;24/06/2017;17:08:00;25/06/2017;0:00:00;GTAWL;B738;TOM
20170530;LEMH;LEPA;30/05/2017;7:36:00;30/05/2017;8:21:00;ECLJR;CRJX;ANE
20170530;LEMH;LEPA;30/05/2017;5:05:00;30/05/2017;5:44:00;ECMJO;CRJX;ANE
20170624;LEMH;EGSS;24/06/2017;9:03:00;25/06/2017;0:00:00;GEZOZ;A320;EZY
20170530;LEMH;EGKK;30/05/2017;17:48:00;31/05/2017;0:00:00;GEZBF;A319;EZY
20170624;LEMH;LEBL;24/06/2017;9:00:00;24/06/2017;10:10:00;ECLVT;A320;VLG
20170530;LEMH;LEZG;30/05/2017;17:15:00;30/05/2017;18:25:00;9HAHA;B735;VOE
20170624;LEMH;LEPA;24/06/2017;5:06:00;24/06/2017;5:33:00;ECLOJ;CRJX;ANE
20170624;LEMH;LSZB;24/06/2017;11:28:00;25/06/2017;0:00:00;HBIZS;SB20;SRK
20170624;LEMH;EGSS;24/06/2017;8:13:00;25/06/2017;0:00:00;GJZHY;B738;EXS
20170624;LEMH;LIPX;24/06/2017;6:18:00;25/06/2017;0:00:00;ECMGT;B712;VOE
20170624;LEMH;EGKK;24/06/2017;8:57:00;25/06/2017;0:00:00;GJMOG;B753;TCX
20170530;LEMH;LEPA;30/05/2017;15:28:00;30/05/2017;16:01:00;ECLJR;CRJX;ANE
20170624;LEMH;EGCC;24/06/2017;18:10:00;25/06/2017;0:00:00;GOBYF;B763;TOM
20170624;LEMH;LFLL;24/06/2017;5:45:00;25/06/2017;0:00:00;FGZTU;B737;FPO
20170624;LEMH;EGKK;24/06/2017;9:40:00;25/06/2017;0:00:00;GFDZE;B738;TOM
20170624;LEMH;EGCC;24/06/2017;9:05:00;25/06/2017;0:00:00;GJMOE;B753;TCX
20170530;LEMH;EGPF;30/05/2017;10:40:00;31/05/2017;0:00:00;GJZHH;B738;EXS
20170530;LEMH;EGGW;30/05/2017;21:05:00;31/05/2017;0:00:00;GEZNC;A319;EZY
20170531;LEMH;EGNT;31/05/2017;8:44:00;01/06/2017;0:00:00;GTAWK;B738;TOM
20170624;LEMH;EGPF;24/06/2017;10:40:00;25/06/2017;0:00:00;GJZHC;B738;EXS
20170624;LEMH;LSGG;24/06/2017;12:25:00;25/06/2017;0:00:00;HBJYE;A320;EZS
20170624;LEMH;EGKK;24/06/2017;14:50:00;25/06/2017;0:00:00;GEZBV;A319;EZY
20170624;LEMH;LFPO;24/06/2017;18:20:00;25/06/2017;0:00:00;ECMOO;A321;VLG
20170624;LEMH;LEVC;24/06/2017;11:25:00;24/06/2017;12:33:00;EIFZR;B738;RYR
20170624;LEMH;LEBL;24/06/2017;6:48:00;24/06/2017;7:38:00;ECKHN;A320;VLG
20170624;LEMH;LFPG;24/06/2017;16:58:00;25/06/2017;0:00:00;FGZTB;B733;FPO
20170624;LEMH;LEPA;24/06/2017;9:48:00;24/06/2017;10:22:00;ECLOJ;CRJX;ANE
20170624;LEMH;LSZR;24/06/2017;7:48:00;25/06/2017;0:00:00;OELMK;E170;PEV
20170624;LEMH;EGKK;24/06/2017;19:31:00;25/06/2017;0:00:00;GEZBF;A319;EZY
20170624;LEMH;LEPA;24/06/2017;7:37:00;24/06/2017;8:18:00;ECLOJ;CRJX;ANE
20170624;LEMH;LEBB;24/06/2017;16:38:00;24/06/2017;18:05:00;ECKCG;B738;AEA
20170624;LEMH;LEPA;24/06/2017;17:45:00;24/06/2017;18:20:00;ECLOX;CRJX;ANE
20170624;LEMH;LIPE;24/06/2017;6:25:00;25/06/2017;0:00:00;ECMFL;A320;VLG
20170624;LEMH;LEMD;24/06/2017;7:07:00;24/06/2017;8:42:00;EIFOT;B738;RYR
20170624;LEMH;LEBL;24/06/2017;19:10:00;24/06/2017;19:58:00;ECLVO;A320;VLG
20170624;LEMH;LEBL;24/06/2017;16:00:00;24/06/2017;16:44:00;EIDCM;B738;RYR
20170624;LEMH;LFPO;24/06/2017;18:36:00;25/06/2017;0:00:00;FHMLA;CRJX;HOP
20170624;LEMH;EGGW;24/06/2017;12:52:00;25/06/2017;0:00:00;GEZUW;A320;EZY
20170531;LEMH;EGAA;31/05/2017;8:51:00;01/06/2017;0:00:00;CFFPH;B738;TOM
20170624;LEMH;LEPA;24/06/2017;13:02:00;24/06/2017;13:35:00;ECLOX;CRJX;ANE
20170624;LEMH;LIMC;24/06/2017;7:20:00;25/06/2017;0:00:00;ECMOG;A320;VLG
20170624;LEMH;LEMD;24/06/2017;20:56:00;24/06/2017;22:24:00;ECMFL;A320;VLG
20170624;LEMH;LFRC;24/06/2017;5:55:00;25/06/2017;0:00:00;LYSPI;A320;LLC
20170624;LEMH;EGNX;24/06/2017;9:27:00;25/06/2017;0:00:00;GCELG;B733;EXS
20170624;LEMH;LIPX;24/06/2017;16:25:00;25/06/2017;0:00:00;ECMFL;A320;VLG
20170624;LEMH;LEPA;24/06/2017;8:06:00;24/06/2017;8:36:00;ECLYB;AT75;AEA
20170531;LEMH;LEZL;31/05/2017;12:41:00;31/05/2017;14:18:00;ECKDT;A320;VLG
20170624;LEMH;LEZL;24/06/2017;12:46:00;24/06/2017;14:21:00;ECMOG;A320;VLG
20170624;LEMH;EGLL;24/06/2017;18:48:00;25/06/2017;0:00:00;GEUUE;A320;BAW
20170624;LEMH;EGGW;24/06/2017;9:10:00;25/06/2017;0:00:00;GZBAR;A320;MON
20170624;LEMH;LFPG;24/06/2017;11:15:00;25/06/2017;0:00:00;FGZTB;B733;FPO
20170624;LEMH;EGPF;24/06/2017;19:09:00;25/06/2017;0:00:00;GLCYK;E190;CFE
20170624;LEMH;EGNM;24/06/2017;11:50:00;25/06/2017;0:00:00;GJZHD;B738;EXS
20170624;LEMH;EGKK;24/06/2017;16:30:00;25/06/2017;0:00:00;EIFHW;B738;IBK
20170531;LEMH;EGLL;31/05/2017;18:33:00;01/06/2017;0:00:00;GEUYJ;A320;BAW
20170624;LEMH;EGBB;24/06/2017;21:10:00;25/06/2017;0:00:00;GGDFF;B738;EXS
