aobtDateKey;adep;ades;aobtDate;aobtTime;aibtDate;aibtTime;aircraftRegistration;aircraftType;airline
20170107;LEST;GCLP;07/01/2017;18:37:00;07/01/2017;21:24:00;ECJBL;B738;AEA
20170107;LEST;LSGG;07/01/2017;16:55:00;31/12/9999;23:59:00;HBJYK;A319;EZS
20170107;LEST;LEPA;07/01/2017;10:20:00;07/01/2017;12:09:00;ECMLE;A320;VLG
20170107;LEST;GCXO;07/01/2017;10:08:00;07/01/2017;12:56:00;ECLJX;CRJX;ANE
20170107;LEST;LEMD;07/01/2017;9:35:00;07/01/2017;10:48:00;ECMBU;A320;IBS
20170107;LEST;EGSS;07/01/2017;16:29:00;31/12/9999;23:59:00;EIFRJ;B738;RYR
20170107;LEST;EHAM;07/01/2017;14:27:00;31/12/9999;23:59:00;ECLOB;A320;VLG
20170107;LEST;LSZH;07/01/2017;15:30:00;31/12/9999;23:59:00;HBIOC;A321;SWR
20170107;LEST;LEMD;07/01/2017;5:56:00;07/01/2017;6:59:00;EIFRJ;B738;RYR
20170107;LEST;LEMG;07/01/2017;15:20:00;07/01/2017;16:40:00;EIDWV;B738;RYR
20170107;LEST;LEMD;07/01/2017;20:35:00;07/01/2017;21:42:00;ECILQ;A320;IBS
20170107;LEST;GCRR;07/01/2017;11:41:00;07/01/2017;14:16:00;ECJBL;B738;AEA
20170107;LEST;LEBL;07/01/2017;8:20:00;07/01/2017;9:59:00;EIENN;B738;RYR
20170107;LEST;LFSB;07/01/2017;18:15:00;31/12/9999;23:59:00;HBJYB;A319;EZS
20170107;LEST;GCFV;07/01/2017;6:08:00;07/01/2017;8:52:00;ECLOP;A320;VLG
20170107;LEST;GCLP;07/01/2017;12:41:00;07/01/2017;15:24:00;ECLOV;CRJX;ANE
20170108;LEST;LEMD;08/01/2017;19:40:00;08/01/2017;20:47:00;ECLVQ;A320;IBS
20170108;LEST;LEPA;08/01/2017;16:20:00;08/01/2017;18:39:00;ECLOP;A320;VLG
20170108;LEST;GCTS;08/01/2017;20:55:00;08/01/2017;23:43:00;EIEMA;B738;RYR
20170108;LEST;LEMG;08/01/2017;17:05:00;08/01/2017;18:33:00;ECJTQ;A320;VLG
20170108;LEST;GCRR;08/01/2017;20:55:00;08/01/2017;23:27:00;EIEFX;B738;RYR
20170108;LEST;LEBL;08/01/2017;8:15:00;08/01/2017;9:57:00;EIDYR;B738;RYR
20170108;LEST;LEBB;08/01/2017;20:15:00;08/01/2017;21:11:00;ECHPR;CRJ2;ANE
20170108;LEST;LEMD;08/01/2017;16:50:00;08/01/2017;17:57:00;ECLYM;A320;IBS
20170108;LEST;LEBL;08/01/2017;12:40:00;08/01/2017;14:13:00;ECMER;A320;VLG
20170108;LEST;LEMD;08/01/2017;8:18:00;08/01/2017;9:27:00;ECMEG;A320;IBS
20170108;LEST;LEVC;08/01/2017;9:35:00;08/01/2017;10:59:00;EIFRJ;B738;RYR
20170108;LEST;LEMD;08/01/2017;21:50:00;08/01/2017;22:59:00;EIENB;B738;RYR
20170108;LEST;LEPA;08/01/2017;15:49:00;08/01/2017;17:33:00;ECHPR;CRJ2;ANE
20170108;LEST;LSGG;08/01/2017;8:50:00;31/12/9999;23:59:00;HBJYD;A320;EZS
20170108;LEST;LEZL;08/01/2017;12:25:00;08/01/2017;13:28:00;EIFTF;B738;RYR
20170108;LEST;LIME;08/01/2017;15:40:00;31/12/9999;23:59:00;EIFRJ;B738;RYR
20170108;LEST;LEPA;08/01/2017;21:05:00;08/01/2017;22:53:00;ECLCQ;E190;AEA
20170109;LEST;GCTS;09/01/2017;20:40:00;09/01/2017;23:15:00;EIEMA;B738;RYR
20170109;LEST;LEVC;09/01/2017;9:45:00;09/01/2017;11:11:00;EIFRJ;B738;RYR
20170109;LEST;LEBB;09/01/2017;20:31:00;09/01/2017;21:34:00;ECHPR;CRJ2;ANE
20170109;LEST;LIRF;09/01/2017;20:25:00;31/12/9999;23:59:00;ECJSY;A320;VLG
20170109;LEST;LEBB;09/01/2017;7:57:00;09/01/2017;8:55:00;ECHPR;CRJ2;ANE
20170109;LEST;GCXO;09/01/2017;10:45:00;09/01/2017;13:14:00;ECLOP;A320;VLG
20170109;LEST;EGKK;09/01/2017;17:35:00;31/12/9999;23:59:00;ECLOP;A320;VLG
20170109;LEST;LEMD;09/01/2017;12:20:00;09/01/2017;13:24:00;ECMEH;A320;IBS
20170109;LEST;LEMD;09/01/2017;17:35:00;09/01/2017;18:42:00;EIFRJ;B738;RYR
20170109;LEST;LEAL;09/01/2017;14:45:00;09/01/2017;16:05:00;EIEFK;B738;RYR
20170109;LEST;LEBB;09/01/2017;17:35:00;09/01/2017;18:31:00;ECHPR;CRJ2;ANE
20170109;LEST;LEBL;09/01/2017;20:35:00;09/01/2017;22:13:00;EIDAC;B738;RYR
20170109;LEST;LEVT;09/01/2017;19:18:00;09/01/2017;20:31:00;ECJQF;AT73;BCS
20170109;LEST;LEMD;09/01/2017;8:26:00;09/01/2017;9:28:00;ECJFG;A320;IBS
20170109;LEST;LEMD;09/01/2017;5:56:00;09/01/2017;7:01:00;EIFRJ;B738;RYR
20170109;LEST;GCLP;09/01/2017;21:11:00;09/01/2017;23:38:00;EIENH;B738;RYR
20170109;LEST;LEMD;09/01/2017;16:40:00;09/01/2017;17:58:00;ECLEA;A320;IBS
20170109;LEST;LEBL;09/01/2017;8:00:00;09/01/2017;9:39:00;EIDAC;B738;RYR
20170109;LEST;LEZL;09/01/2017;8:10:00;09/01/2017;9:18:00;EIFTF;B738;RYR
20170109;LEST;LEBL;09/01/2017;8:30:00;09/01/2017;10:17:00;ECHGZ;A320;VLG
20170109;LEST;LEBL;09/01/2017;21:10:00;09/01/2017;22:53:00;ECLQN;A320;VLG
20170109;LEST;LEMD;09/01/2017;5:40:00;09/01/2017;6:53:00;ECILQ;A320;IBS
20170110;LEST;LEMD;10/01/2017;8:17:00;10/01/2017;9:19:00;ECJFH;A320;IBS
20170110;LEST;LEMD;10/01/2017;16:40:00;10/01/2017;17:48:00;ECLYE;A320;IBS
20170108;LEST;LFPG;08/01/2017;10:33:00;31/12/9999;23:59:00;ECLOP;A320;VLG
20170108;LEST;GCLP;08/01/2017;21:29:00;09/01/2017;0:15:00;EIENH;B738;RYR
20170108;LEST;LEBL;08/01/2017;21:35:00;08/01/2017;23:23:00;ECLRE;A320;VLG
20170110;LEST;LEAL;10/01/2017;11:44:00;10/01/2017;13:10:00;ECISN;B738;AEA
20170110;LEST;LEMG;10/01/2017;15:38:00;10/01/2017;17:00:00;EIFRK;B738;RYR
20170110;LEST;LSGG;10/01/2017;13:15:00;31/12/9999;23:59:00;HBJYH;A319;EZS
20170110;LEST;LEBL;10/01/2017;8:15:00;10/01/2017;9:58:00;ECLZF;A320;VLG
20170110;LEST;LEMD;10/01/2017;21:07:00;10/01/2017;22:03:00;EIFOB;B738;RYR
20170110;LEST;LEBB;10/01/2017;19:08:00;10/01/2017;20:07:00;ECHPR;CRJ2;ANE
20170110;LEST;LFSB;10/01/2017;9:30:00;31/12/9999;23:59:00;HBJYF;A319;EZS
20170110;LEST;LEPA;10/01/2017;9:45:00;10/01/2017;11:28:00;EIDPH;B738;RYR
20170110;LEST;LEVT;10/01/2017;19:08:00;10/01/2017;20:34:00;ECJQF;AT73;BCS
20170110;LEST;LEBL;10/01/2017;21:05:00;10/01/2017;22:45:00;ECMCU;A320;VLG
20170110;LEST;EGSS;10/01/2017;16:20:00;31/12/9999;23:59:00;EIDPH;B738;RYR
20170110;LEST;LEMD;10/01/2017;5:35:00;10/01/2017;6:43:00;ECJSK;A320;IBS
20170110;LEST;LEMG;10/01/2017;22:18:00;10/01/2017;23:41:00;ECLTM;B738;AEA
20170110;LEST;LEBL;10/01/2017;20:25:00;10/01/2017;22:04:00;EIENN;B738;RYR
20170110;LEST;LEAL;10/01/2017;12:20:00;10/01/2017;13:45:00;CSTRL;A320;EVE
20170110;LEST;LEMD;10/01/2017;12:10:00;10/01/2017;13:18:00;ECLEA;A320;IBS
20170110;LEST;LEMD;10/01/2017;5:55:00;10/01/2017;7:07:00;EIDPH;B738;RYR
20170110;LEST;LEBL;10/01/2017;8:20:00;10/01/2017;10:04:00;EIDLH;B738;RYR
20170110;LEST;GCXO;10/01/2017;16:21:00;10/01/2017;18:46:00;ECISN;B738;AEA
20170110;LEST;LEBB;10/01/2017;8:01:00;10/01/2017;8:57:00;ECHPR;CRJ2;ANE
20170111;LEST;LEMD;11/01/2017;5:55:00;11/01/2017;7:05:00;EIDPH;B738;RYR
20170111;LEST;LEBL;11/01/2017;22:09:00;11/01/2017;23:36:00;EIENN;B738;RYR
20170111;LEST;LEBB;11/01/2017;19:08:00;11/01/2017;20:08:00;ECHPR;CRJ2;ANE
20170111;LEST;LEBL;11/01/2017;21:40:00;11/01/2017;23:07:00;ECLVB;A320;VLG
20170111;LEST;LEZL;11/01/2017;12:31:00;11/01/2017;13:41:00;EIFIV;B738;RYR
20170111;LEST;LEBL;11/01/2017;8:15:00;11/01/2017;9:56:00;ECLVB;A320;VLG
20170111;LEST;LEBB;11/01/2017;8:01:00;11/01/2017;9:05:00;ECHPR;CRJ2;ANE
20170111;LEST;LEMD;11/01/2017;8:20:00;11/01/2017;9:27:00;ECMCB;A320;IBS
20170111;LEST;LEPA;11/01/2017;15:45:00;11/01/2017;17:27:00;ECKHN;A320;VLG
20170111;LEST;LEVC;11/01/2017;9:40:00;11/01/2017;10:58:00;EIDPH;B738;RYR
20170111;LEST;LEMD;11/01/2017;16:45:00;11/01/2017;17:46:00;ECLUS;A320;IBS
20170111;LEST;GCRR;11/01/2017;20:45:00;11/01/2017;23:11:00;EIEKR;B738;RYR
20170111;LEST;LEBL;11/01/2017;8:10:00;11/01/2017;9:38:00;EIDCW;B738;RYR
20170111;LEST;EGKK;11/01/2017;17:45:00;31/12/9999;23:59:00;ECLOP;A320;VLG
20170111;LEST;LEMD;11/01/2017;21:35:00;11/01/2017;22:50:00;EIDHW;B738;RYR
20170111;LEST;LIME;11/01/2017;15:20:00;31/12/9999;23:59:00;EIEFK;B738;RYR
20170111;LEST;GCTS;11/01/2017;20:28:00;11/01/2017;23:12:00;EIEMA;B738;RYR
20170111;LEST;LEVT;11/01/2017;19:05:00;11/01/2017;20:20:00;ECJQF;AT73;BCS
20170111;LEST;LEAL;11/01/2017;14:45:00;11/01/2017;16:10:00;EIDPH;B738;RYR
20170112;LEST;LEMD;12/01/2017;16:55:00;12/01/2017;17:59:00;ECLUD;A320;IBS
20170112;LEST;LEMD;12/01/2017;21:10:00;12/01/2017;22:16:00;EIESR;B738;RYR
20170112;LEST;LEMD;12/01/2017;5:47:00;12/01/2017;7:00:00;ECLYM;A320;IBS
20170112;LEST;LEMD;12/01/2017;8:20:00;12/01/2017;9:28:00;ECLEA;A320;IBS
20170112;LEST;LEPA;12/01/2017;9:50:00;12/01/2017;11:30:00;EIEFK;B738;RYR
20170112;LEST;LEBB;12/01/2017;17:44:00;12/01/2017;18:39:00;ECHPR;CRJ2;ANE
20170112;LEST;LEBL;12/01/2017;8:39:00;12/01/2017;10:17:00;ECLOP;A320;VLG
